=== Reaper CPU monitor Sat Jul  4 10:08:04 CDT 2026 ===
[10:08:56] reaper=2.9 121824 | webcontent=cpu=12.4% rss=403520KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:57] reaper=3.2 121824 | webcontent=cpu=10.7% rss=403536KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:58] reaper=3.1 121856 | webcontent=cpu=12.3% rss=403520KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:59] reaper=3.2 121808 | webcontent=cpu=11.5% rss=403472KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:00] reaper=3.4 121808 | webcontent=cpu=12.2% rss=403824KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:02] reaper=0.5 119488 | webcontent=cpu=13.6% rss=362832KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:03] reaper=0.0 119440 | webcontent=cpu=9.1% rss=363312KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:04] reaper=0.0 119440 | webcontent=cpu=0.3% rss=363328KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:05] reaper=0.0 119440 | webcontent=cpu=0.0% rss=363328KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:06] reaper=0.0 119440 | webcontent=cpu=0.0% rss=363328KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:08] reaper=0.0 119440 | webcontent=cpu=0.0% rss=363328KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:09] reaper=0.0 119360 | webcontent=cpu=0.0% rss=363232KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:10] reaper=0.0 119264 | webcontent=cpu=0.0% rss=346688KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:11] reaper=0.0 119136 | webcontent=cpu=0.0% rss=345744KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:12] reaper=0.0 112272 | webcontent=cpu=0.0% rss=317296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:13] reaper=0.0 110944 | webcontent=cpu=0.0% rss=317296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:15] reaper=0.0 110944 | webcontent=cpu=0.0% rss=317296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:16] reaper=0.0 110944 | webcontent=cpu=0.0% rss=317296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:17] reaper=0.0 110944 | webcontent=cpu=0.0% rss=317296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:18] reaper=0.0 110800 | webcontent=cpu=0.0% rss=317296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:19] reaper=0.0 110720 | webcontent=cpu=0.0% rss=317296KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:21] reaper=0.0 109824 | webcontent=cpu=0.0% rss=297232KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:22] reaper=0.0 107648 | webcontent=cpu=0.0% rss=294336KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:23] reaper=0.0 106608 | webcontent=cpu=0.0% rss=264656KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:24] reaper=0.0 106544 | webcontent=cpu=0.0% rss=263952KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:25] reaper=0.0 106192 | webcontent=cpu=0.0% rss=251408KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:26] reaper=0.0 102976 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:28] reaper=0.0 102976 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:29] reaper=0.0 102976 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:30] reaper=0.0 102976 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:31] reaper=0.0 102944 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:32] reaper=0.0 102944 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:33] reaper=0.0 102944 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:35] reaper=0.0 102944 | webcontent=cpu=0.0% rss=238944KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:36] reaper=0.0 102480 | webcontent=cpu=0.0% rss=235328KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:37] reaper=3.8 103280 | webcontent=cpu=11.9% rss=213120KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:38] reaper=3.4 103440 | webcontent=cpu=11.9% rss=214144KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:39] reaper=4.0 103488 | webcontent=cpu=14.9% rss=216720KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:41] reaper=3.8 103792 | webcontent=cpu=14.4% rss=219968KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:42] reaper=0.1 103936 | webcontent=cpu=0.3% rss=220000KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
